Clase de coste,Denom.clase de coste,Denominación de la cuenta,RUBRO EBITDA,TIPO DE CUENTA
6062001,GT- IMPRENTA COMERC,INSUMOS DE OFICINA,Costo Servicio,GASTOS
6062001,GT- IMPRENTA COMERC,INSUMOS DE OFICINA,Gasto Comercialización,GASTOS
6062002,GT- PUBLI Y SUSCRIP,PROMOCION Y PUBLICIDAD,Costo Servicio,GASTOS
6062003,GT- UTILES LIBRERÍA,INSUMOS DE OFICINA,Costo Servicio,GASTOS
6062004,GT- INSUMOS COMPU,INSUMOS DE OFICINA,Costo Servicio,GASTOS
6062005,GT- OTROS COSTOS PAP,INSUMOS DE OFICINA,Costo Servicio,GASTOS
6063003,GT- SEG RESP CIVIL,SEGUROS,Costo Servicio,GASTOS
6063003,GT- SEG RESP CIVIL,SEGUROS,Gasto Comercialización,GASTOS
6063006,GT- OTROS SEGUROS,SEGUROS,Costo Servicio,GASTOS
6065001,GT- COMI OPERATIVA,COMISIONES,Costo Servicio,GASTOS
6065002,GT- COMI COMERCIALES,COMISIONES,Costo Servicio,GASTOS
6065003,GT- COMI BANCARIAS,COMISIONES,Costo Servicio,GASTOS
6066001,FOLLETERIA COMERCIAL,PROMOCION Y PUBLICIDAD,Costo Servicio,GASTOS
6066001,FOLLETERIA COMERCIAL,PROMOCION Y PUBLICIDAD,Gasto Comercialización,GASTOS
6066003,PROMOCION,PROMOCION Y PUBLICIDAD,Gasto Comercialización,GASTOS
6066004,PUBLICIDAD,PROMOCION Y PUBLICIDAD,Costo Servicio,GASTOS
6066004,PUBLICIDAD,PROMOCION Y PUBLICIDAD,Gasto Comercialización,GASTOS
6066005,DONACIONES,PROMOCION Y PUBLICIDAD,Costo Servicio,GASTOS
6066007,OTROS GTOS PUBLI,PROMOCION Y PUBLICIDAD,Gasto Comercialización,GASTOS
6067001,DS. INCOBRABLES,DEUDORES INCOBRABLES,Gasto Comercialización,GASTOS
6067002,RECUPERO PREV INCOBR,DEUDORES INCOBRABLES,Gasto Comercialización,GASTOS
